Uuid,Void/Retire,Name,Description,Parent,Tags,IdentifierSourceName,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
d02425d0-d851-4da5-ad25-2be0dc8804f7,no,Ludabot PHCC,,,Visit Location;,,,,Wunrok Payam,,,,,Twic County,Warrap State,,,
353b17a3-2f12-4cd3-9e80-8dc2685e56ac,no,Luek PHCU,,,Visit Location;,,,,Roam Payam,,,,,Luakpiny/Nasir County,Upper Nile State,,,
73325147-052e-4b65-a47b-1d8d1e58244b,no,Lueth Lual PHCU,,,Visit Location;,,,,Ariath Payam,,,,,Aweil North County,Northern Bahr El Ghazal State,,,
f28226fc-f4ad-47bf-8f2b-bf6a69af26f0,no,Lueth Ngor PHCU,,,Visit Location;,,,,Ariath Payam,,,,,Aweil North County,Northern Bahr El Ghazal State,,,
7fabd485-5ff9-4edb-9d00-345eef711631,no,Lui HOSPITAL,,,Visit Location;,,,,Lozoh Payam,,,,,Mundri East County,Western Equatoria State,,,
f0bbb087-c1f2-4f1d-95e9-537d662cbe8e,no,Lujulo PHCU,,,Visit Location;,,,,Lujulo Payam,,,,,Morobo County,Central Equatoria State,,,
19a18d18-afa0-4a5d-a0e6-d57641ed643f,no,Lul West PHCU,,,Visit Location;,,,,Lul Payam,,,,,Fashoda County,Upper Nile State,,,
d33f1d37-3632-4e7b-b28b-8c33ec6fb68e,no,Lulic PHCU,,,Visit Location;,,,,Achana Payam,,,,,Aweil Centre County,Northern Bahr El Ghazal State,,,
478e5aa0-5062-4325-bb22-7dfa44fdea08,no,Luom PHCU,,,Visit Location;,,,,Luom Payam,,,,,Mayendit County,Unity State,,,
a13aed30-0d07-42f4-a16e-1a5a42785b68,no,Luonyaker PHCC,,,Visit Location;,,,,Pathuon West Payam,,,,,Gogrial East County,Warrap State,,,
2a0bdb4e-0513-4576-914c-3a06de7de642,no,Lurchuk PHCU,,,Visit Location;,,,,Pagol Payam,,,,,Tonj North County,Warrap State,,,
91ca1a1f-5e35-4c40-b510-30b12d8d8945,no,Luri rokwe PHCU,,,Visit Location;,,,,Northern Bari Payam,,,,,Juba County,Central Equatoria State,,,
abcdd734-08ad-4088-bd45-b7990f0cd23d,no,Luri-Somba PHCU,,,Visit Location;,,,,Northern Bari Payam,,,,,Juba County,Central Equatoria State,,,
f462deba-6153-49ea-a76e-1e51a7485309,no,Lutheran PHCC,,,Visit Location;,,,,Munuki Payam,,,,,Juba County,Central Equatoria State,,,
9e3c2092-5195-4827-9442-dd1bf3b9571f,no,Luthern Church PHCU,,,Visit Location;,,,,Yambio Town Payam,,,,,Yambio County,Western Equatoria State,,,
a4fddc97-069b-420b-9121-87cb87d13e85,no,Lwala PHCU,,,Visit Location;,,,,Pachidi Payam,,,,,Lafon/Lopa County,Eastern Equatoria State,,,
22c9af60-a2e1-4e92-b0b6-7dcd30312dbd,no,Lwoki PHCU,,,Visit Location;,,,,Nyori Payam,,,,,Terekeka County,Central Equatoria State,,,
6a77c23c-3497-43f9-b743-db905911f30b,no,Maal PHCU,,,Visit Location;,,,,Maal Payam,,,,,Mayendit County,Unity State,,,
a9d6a2ed-c6aa-45ea-9dc6-d45c6aa985e7,no,Maar PHCC,,,Visit Location;,,,,Pakeer Payam,,,,,Twic East County,Jonglei State,,,
be9c3a4c-3d78-4d11-99f8-cda7db5b4bfb,no,Maar PHCU,,,Visit Location;,,,,Pajiek Payam,,,,,Ayod County,Jonglei State,,,
0b39730d-5263-4219-966f-4279240e12b7,no,Mabaiku PHCU,,,Visit Location;,,,,Tambura Payam,,,,,Tambura County,Western Equatoria State,,,
131247f2-26b5-49e9-83ba-34335764b24b,no,Mabema PHCU,,,Visit Location;,,,,Ri-rangu Payam,,,,,Yambio County,Western Equatoria State,,,
625588ce-9484-4e52-8132-8407dbd4aa99,no,Mabenge PHCU,,,Visit Location;,,,,Rii - Yubu Payam,,,,,Tambura County,Western Equatoria State,,,
adf09294-8be3-406d-ad45-d4e02436caa8,no,Mabia PHCU,,,Visit Location;,,,,Mupoi Payam,,,,,Tambura County,Western Equatoria State,,,
ad0849cd-290a-4a41-be8c-b051fa22cf15,no,Mabil PHCC,,,Visit Location;,,,,Baach Payam,,,,,Aweil East County,Northern Bahr El Ghazal State,,,
17078477-a70a-4adb-b4d2-5e7a7e992e27,no,Mabil Yow PHCU,,,Visit Location;,,,,Pannyok Payam,,,,,Twic County,Warrap State,,,
cb69eff7-e1d5-467f-9070-b369ac8790b6,no,Mabilindi PHCU,,,Visit Location;,,,,Maridi Payam,,,,,Maridi County,Western Equatoria State,,,
ec26cd1b-93b5-41cd-8693-4944bb868ef7,no,Mabior Abiem PHCU,,,Visit Location;,,,,Wau Bai Payam,,,,,Jur River County,Western Bahr El Ghazal State,,,
8cbad56b-b108-4b67-8fc1-551a039b7748,no,Mabior Anguei PHCU,,,Visit Location;,,,,Malual East Payam,,,,,Aweil North County,Northern Bahr El Ghazal State,,,
6477f2e1-c643-4936-a168-978ded4ad5fd,no,Mabior Kot PHCU,,,Visit Location;,,,,Wunrok Payam,,,,,Twic County,Warrap State,,,
ce0a044c-d1e7-4dc9-85e5-9996c2adcf5a,no,Mabior Nyang PHCU,,,Visit Location;,,,,Malual West Payam (Aweil N),,,,,Aweil North County,Northern Bahr El Ghazal State,,,
9d04cd91-2c6e-4efe-ad3c-31ddb71b3bb6,no,Mabior PHCU,,,Visit Location;,,,,Ayat East Payam,,,,,Aweil West County,Jonglei State,,,
704bd4f1-1d0e-49cd-ad20-0d6e44076d56,no,Mabior PHCU,,,Visit Location;,,,,Ayat East Payam,,,,,Aweil West County,Jonglei State,,,
03eaa13c-4ed7-42f1-a4e0-16bcf54624cf,no,Mabior PHCU,,,Visit Location;,,,,Ayat East Payam,,,,,Aweil West County,Jonglei State,,,
e94bb29b-aa41-4dfe-97e9-9cbb94a7efbc,no,Mabior Tiit PHCU,,,Visit Location;,,,,Toch North Payam,,,,,Gogrial East County,Warrap State,,,
92cb2874-75c6-45a4-84c0-375ecece7c9c,no,Mabior yar PHCU,,,Visit Location;,,,,Wath-alel Payam,,,,,Tonj South County,Warrap State,,,
d2671766-51ab-4284-9e76-b0ce06a1e98f,no,Mabiorkuot PHCU,,,Visit Location;,,,,Malual Centre Payam,,,,,Aweil North County,Northern Bahr El Ghazal State,,,
7582c414-296c-4296-b921-6ea1ca2bf8f0,no,Mabiorwundiing PHCU,,,Visit Location;,,,,Mangok Payam,,,,,Aweil East County,Northern Bahr El Ghazal State,,,
09a91495-27cb-4232-959a-62a0c0ea1f23,no,Mabok Akot PHCU,,,Visit Location;,,,,Chel South Payam,,,,,Aweil Centre County,Northern Bahr El Ghazal State,,,
43e00daf-7f69-40c0-8ac0-6cb5256e802c,no,Mabok PHCU,,,Visit Location;,,,,Rumamer Payam,,,,,Abyei County,Abyei Administrative Area,,,
3ba84272-91d6-431d-b0f6-2a0eab016fef,no,Mabok Tong PHCU,,,Visit Location;,,,,Madhol Payam,,,,,Aweil East County,Northern Bahr El Ghazal State,,,
d76d67b5-05a0-4218-b799-a533cf64f2e9,no,Mabor Abun PHCU,,,Visit Location;,,,,Marial Bai Payam,,,,,Jur River County,Western Bahr El Ghazal State,,,
14ea319f-9ef0-411e-aaa5-dc52c8eabab1,no,Mabor Duang PHCC,,,Visit Location;,,,,Aduel Payam,,,,,Rumbek East County,Lakes State,,,
61d88ad9-213c-4997-8e83-9c30e965804b,no,Maboric PHCU,,,Visit Location;,,,,Atiaba Payam,,,,,Rumbek East County,Lakes State,,,
94de0624-20d2-4b16-b8b8-0f233ad7e2be,no,Mabui PHCU,,,Visit Location;,,,,Matangai Payam,,,,,Rumbek Centre County,Lakes State,,,
fbf8b7c8-4cfb-4349-a7fc-0f43612a7307,no,Machar Adhot PHCU,,,Visit Location;,,,,Mariem East Payam,,,,,Aweil West County,Northern Bahr El Ghazal State,,,
544b73b1-4b57-4b76-b430-6a6a9d45ad8a,no,Machar PHCU,,,Visit Location;,,,,Tiap Payam,,,,,Panyijar County,Unity State,,,
addac800-fd28-422e-8db7-484b507d4e6f,no,Macharluong PHCU,,,Visit Location;,,,,Malual Bai Payam,,,,,Aweil East County,Northern Bahr El Ghazal State,,,
878fe80d-52c0-495a-8385-5d45b124db64,no,Madau PHCU,,,Visit Location;,,,,Turalei Payam,,,,,Twic County,Warrap State,,,
ce82228f-10e0-482a-8fb3-26920fa1d17d,no,Madebe PHCC,,,Visit Location;,,,,Madebe Payam,,,,,Ibba County,Western Equatoria State,,,
e6789988-c9a6-4e88-a1df-de862df7b069,no,Madhol PHCU,,,Visit Location;,,,,Madhol Payam,,,,,Aweil East County,Northern Bahr El Ghazal State,,,
